Info (125069): Default assignment values were changed in the current version of the Quartus Prime software -- changes to default assignments values are contained in file c:/intelfpga/18.1/quartus/bin64/assignment_defaults.qdf
Info: *******************************************************************
Info: Running Quartus Prime Timing Analyzer
    Info: Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
    Info: Copyright (C) 2018  Intel Corporation. All rights reserved.
    Info: Your use of Intel Corporation's design tools, logic functions 
    Info: and other software and tools, and its AMPP partner logic 
    Info: functions, and any output files from any of the foregoing 
    Info: (including device programming or simulation files), and any 
    Info: associated documentation or information are expressly subject 
    Info: to the terms and conditions of the Intel Program License 
    Info: Subscription Agreement, the Intel Quartus Prime License Agreement,
    Info: the Intel FPGA IP License Agreement, or other applicable license
    Info: agreement, including, without limitation, that your use is for
    Info: the sole purpose of programming logic devices manufactured by
    Info: Intel and sold by Intel or its authorized distributors.  Please
    Info: refer to the applicable agreement for further details.
    Info: Processing started: Mon Nov 11 11:58:34 2019
Info: Command: quartus_sta --sdc=toolflow.sdc toolflow --do_report_timing
Info: qsta_default_script.tcl version: #1
Warning (18236): Number of processors has not been specified which may cause overloading on shared machines.  Set the global assignment NUM_PARALLEL_PROCESSORS in your QSF to an appropriate value for best performance.
Info (20030): Parallel compilation is enabled and will use 4 of the 4 processors detected
Info (21076): High junction temperature operating condition is not set. Assuming a default value of '85'.
Info (21076): Low junction temperature operating condition is not set. Assuming a default value of '0'.
Info (332104): Reading SDC File: 'toolflow.sdc'
Info: Found TIMING_ANALYZER_REPORT_SCRIPT_INCLUDE_DEFAULT_ANALYSIS = ON
Info: Analyzing Slow 1200mV 85C Model
Critical Warning (332148): Timing requirements not met
    Info (11105): For recommendations on closing timing, run Report Timing Closure Recommendations in the Timing Analyzer.
Info (332146): Worst-case setup slack is -17.040
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):   -17.040         -347591.146 iCLK 
Info (332146): Worst-case hold slack is 1.028
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     1.028               0.000 iCLK 
Info (332140): No Recovery paths to report
Info (332140): No Removal paths to report
Info (332146): Worst-case minimum pulse width slack is 9.738
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     9.738               0.000 iCLK 
Info (332115): Report Timing: Found 1 setup paths (1 violated).  Worst case slack is -17.040
    Info (332115): -to_clock [get_clocks {iCLK}]
    Info (332115): -setup
    Info (332115): -stdout
Info (332115): Path #1: Setup slack is -17.040 (VIOLATED)
    Info (332115): ===================================================================
    Info (332115): From Node    : pc_register:pc_reg|s_Q[9]
    Info (332115): To Node      : pc_register:pc_reg|s_Q[9]
    Info (332115): Launch Clock : iCLK
    Info (332115): Latch Clock  : iCLK
    Info (332115): Data Arrival Path:
    Info (332115): Total (ns)  Incr (ns)     Type  Element
    Info (332115): ==========  ========= ==  ====  ===================================
    Info (332115):      0.000      0.000           launch edge time
    Info (332115):      3.050      3.050  R        clock network delay
    Info (332115):      3.282      0.232     uTco  pc_register:pc_reg|s_Q[9]
    Info (332115):      3.282      0.000 FF  CELL  pc_reg|s_Q[9]|q
    Info (332115):      3.629      0.347 FF    IC  s_IMemAddr[9]~6|datad
    Info (332115):      3.754      0.125 FF  CELL  s_IMemAddr[9]~6|combout
    Info (332115):      5.869      2.115 FF    IC  IMem|ram~39897|datab
    Info (332115):      6.294      0.425 FF  CELL  IMem|ram~39897|combout
    Info (332115):      6.561      0.267 FF    IC  IMem|ram~39898|datab
    Info (332115):      6.986      0.425 FF  CELL  IMem|ram~39898|combout
    Info (332115):      8.672      1.686 FF    IC  IMem|ram~39901|datac
    Info (332115):      8.953      0.281 FF  CELL  IMem|ram~39901|combout
    Info (332115):      9.219      0.266 FF    IC  IMem|ram~39904|datab
    Info (332115):      9.623      0.404 FF  CELL  IMem|ram~39904|combout
    Info (332115):     10.297      0.674 FF    IC  IMem|ram~39915|datad
    Info (332115):     10.422      0.125 FF  CELL  IMem|ram~39915|combout
    Info (332115):     10.655      0.233 FF    IC  IMem|ram~39926|datac
    Info (332115):     10.936      0.281 FF  CELL  IMem|ram~39926|combout
    Info (332115):     11.163      0.227 FF    IC  IMem|ram~39927|datad
    Info (332115):     11.288      0.125 FF  CELL  IMem|ram~39927|combout
    Info (332115):     11.563      0.275 FF    IC  IMem|ram~39970|dataa
    Info (332115):     11.967      0.404 FF  CELL  IMem|ram~39970|combout
    Info (332115):     15.339      3.372 FF    IC  IMem|ram~40141|datad
    Info (332115):     15.464      0.125 FF  CELL  IMem|ram~40141|combout
    Info (332115):     15.735      0.271 FF    IC  IMem|ram~40312|datab
    Info (332115):     16.139      0.404 FF  CELL  IMem|ram~40312|combout
    Info (332115):     16.488      0.349 FF    IC  ctrl_unit|Mux24~2|dataa
    Info (332115):     16.894      0.406 FR  CELL  ctrl_unit|Mux24~2|combout
    Info (332115):     17.177      0.283 RR    IC  ctrl_unit|Mux24~3|dataa
    Info (332115):     17.594      0.417 RR  CELL  ctrl_unit|Mux24~3|combout
    Info (332115):     18.367      0.773 RR    IC  ctrl_unit|Mux23~1|datac
    Info (332115):     18.652      0.285 RR  CELL  ctrl_unit|Mux23~1|combout
    Info (332115):     19.095      0.443 RR    IC  alu_compute|Mux2~0|dataa
    Info (332115):     19.532      0.437 RF  CELL  alu_compute|Mux2~0|combout
    Info (332115):     19.781      0.249 FF    IC  alu_compute|Mux2~1|datad
    Info (332115):     19.906      0.125 FF  CELL  alu_compute|Mux2~1|combout
    Info (332115):     20.796      0.890 FF    IC  alu_compute|\alu_loop:1:alu_i|adder|or1|o_F~0|datad
    Info (332115):     20.946      0.150 FR  CELL  alu_compute|\alu_loop:1:alu_i|adder|or1|o_F~0|combout
    Info (332115):     21.169      0.223 RR    IC  alu_compute|\alu_loop:2:alu_i|adder|or1|o_F~0|datac
